#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;131;29;38;136;0;0;0;0;/image/fireHead/fireHead_andar_0.png
1;142;29;29;135;0;0;0;0;/image/fireHead/fireHead_andar_1.png
2;138;31;31;137;0;0;0;0;/image/fireHead/fireHead_andar_2.png
3;133;29;50;142;0;0;0;0;/image/fireHead/fireHead_parado_0.png
4;131;31;30;131;0;0;0;0;/image/fireHead/fireHead_parado_1.png
5;124;49;68;149;0;0;0;0;/image/fireHead/fireHead_defesa_alta_0.png
6;152;46;33;147;0;0;0;0;/image/fireHead/fireHead_hit_0.png
7;151;50;40;139;0;0;0;0;/image/fireHead/fireHead_hit_1.png
8;152;53;47;138;0;0;0;0;/image/fireHead/fireHead_hit_2.png
9;142;31;31;145;0;0;0;0;/image/fireHead/fireHead_soco_alto_0.png
10;137;33;36;141;119;53;20;23;/image/fireHead/fireHead_soco_alto_1.png
11;137;26;39;140;164;65;19;10;/image/fireHead/fireHead_soco_alto_2.png
12;131;18;43;166;0;0;0;0;/image/fireHead/fireHead_chute_alto_0.png
13;134;19;34;167;128;109;6;23;/image/fireHead/fireHead_chute_alto_1.png
14;151;22;18;158;103;72;45;55;/image/fireHead/fireHead_chute_alto_2.png
15;151;36;56;132;85;35;65;53;/image/fireHead/fireHead_chute_alto_3.png
16;100;40;45;158;135;60;49;35;/image/fireHead/fireHead_especial_0.png
17;131;34;53;163;86;43;55;33;/image/fireHead/fireHead_especial_1.png
18;137;40;34;154;133;41;29;37;/image/fireHead/fireHead_especial_2.png
19;148;78;52;116;0;0;0;0;/image/fireHead/fireHead_agachado_0.png
20;129;77;55;127;0;0;0;0;/image/fireHead/fireHead_agachado_1.png
21;130;86;61;106;0;0;0;0;/image/fireHead/fireHead_agachado_2.png
22;126;90;61;109;0;0;0;0;/image/fireHead/fireHead_defesa_baixa_0.png
23;119;71;63;119;0;0;0;0;/image/fireHead/fireHead_socoBaixo_0.png
24;128;76;58;114;106;93;27;20;/image/fireHead/fireHead_socoBaixo_1.png
25;116;79;73;113;82;101;45;10;/image/fireHead/fireHead_socoBaixo_2.png
26;147;81;71;127;0;0;0;0;/image/fireHead/fireHead_chute_baixo_0.png
27;127;76;57;123;0;0;0;0;/image/fireHead/fireHead_chute_baixo_1.png
28;138;89;53;107;125;139;12;54;/image/fireHead/fireHead_chute_baixo_2.png
29;134;95;39;98;76;150;65;36;/image/fireHead/fireHead_chute_baixo_3.png
30;143;101;49;95;52;153;92;44;/image/fireHead/fireHead_chute_baixo_4.png
