#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;133;34;42;159;0;0;0;0;/image/madimbu/madimbu_anda_0.png
1;99;29;65;164;0;0;0;0;/image/madimbu/madimbu_anda_1.png
2;97;24;56;170;0;0;0;0;/image/madimbu/madimbu_anda_2.png
3;122;36;52;157;0;0;0;0;/image/madimbu/madimbu_parado_0.png
4;116;46;56;149;0;0;0;0;/image/madimbu/madimbu_parado_1.png
5;121;38;56;159;0;0;0;0;/image/madimbu/madimbu_parado_2.png
6;102;15;100;179;0;0;0;0;/image/madimbu/madimbu_defesa_alta_0.png
7;119;12;66;188;0;0;0;0;/image/madimbu/madimbu_hit_0.png
8;135;12;42;175;0;0;0;0;/image/madimbu/madimbu_soco_alto_0.png
9;130;11;52;183;92;35;38;32;/image/madimbu/madimbu_soco_alto_1.png
10;124;12;50;182;70;29;54;31;/image/madimbu/madimbu_soco_alto_2.png
11;106;8;77;187;46;8;60;44;/image/madimbu/madimbu_soco_alto_3.png
12;125;12;40;176;98;77;27;84;/image/madimbu/madimbu_chute_alto_0.png
13;143;10;39;186;78;68;66;62;/image/madimbu/madimbu_chute_alto_1.png
14;119;13;75;182;24;81;94;30;/image/madimbu/madimbu_chute_alto_2.png
15;134;30;33;168;0;0;0;0;/image/madimbu/madimbu_especial_0.png
16;133;39;29;160;72;105;59;47;/image/madimbu/madimbu_especial_1.png
17;130;25;60;180;71;86;56;88;/image/madimbu/madimbu_especial_2.png
18;117;29;55;175;171;80;38;60;/image/madimbu/madimbu_especial_3.png
19;116;33;42;159;159;70;66;69;/image/madimbu/madimbu_especial_4.png
20;125;28;38;166;0;0;0;0;/image/madimbu/madimbu_especial_5.png
21;115;45;70;152;0;0;0;0;/image/madimbu/madimbu_baixo_0.png
22;119;92;65;103;0;0;0;0;/image/madimbu/madimbu_defesa_baixa_0.png
23;119;67;64;128;92;93;28;27;/image/madimbu/madimbu_soco_baixo_0.png
24;110;58;74;147;77;87;31;20;/image/madimbu/madimbu_soco_baixo_1.png
25;109;57;73;144;45;80;66;22;/image/madimbu/madimbu_soco_baixo_2.png
26;114;12;120;188;0;0;0;0;/image/madimbu/madimbu_chute_baixo_0.png
27;145;6;43;190;86;70;55;62;/image/madimbu/madimbu_chute_alto_1.png
28;141;20;73;168;20;137;119;49;/image/madimbu/madimbu_chute_baixo_2.png
