#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;132;33;44;165;157;89;0;0;/image/bigboss/bigBoss_anda_alto_0.png
1;137;33;42;167;157;83;0;0;/image/bigboss/bigBoss_anda_alto_1.png
2;146;31;56;170;126;123;22;56;/image/bigboss/bigBoss_chute_alto_0.png
3;148;35;56;168;78;101;70;58;/image/bigboss/bigBoss_chute_alto_1.png
4;113;96;65;104;61;163;52;43;/image/bigboss/bigBoss_chute_baixo_0png.png
5;133;37;53;158;159;89;0;0;/image/bigboss/bigBoss_defesa_alto_0.png
6;121;99;69;99;161;145;0;0;/image/bigboss/bigBoss_defesa_baixa_0.png
7;120;82;80;120;158;108;0;0;/image/bigboss/bigBoss_especial_0.png
8;114;58;83;136;97;97;19;34;/image/bigboss/bigBoss_especial_1.png
9;111;43;76;154;79;36;32;84;/image/bigboss/bigBoss_especial_2.png
10;124;27;61;168;82;0;42;66;/image/bigboss/bigBoss_especial_3.png
11;125;35;59;164;153;67;0;0;/image/bigboss/bigBoss_hit.png
12;128;34;61;166;153;76;2;10;/image/bigboss/bigBoss_Parado_0.png
13;128;38;58;162;154;111;0;0;/image/bigboss/bigBoss_Parado_1.png
14;122;34;63;163;152;107;0;0;/image/bigboss/bigBoss_soco_alto_0.png
15;127;36;54;166;96;56;33;27;/image/bigboss/bigBoss_soco_alto_1.png
16;135;34;47;170;81;51;55;24;/image/bigboss/bigBoss_soco_alto_3.png
17;122;90;67;108;96;115;27;22;/image/bigboss/bigBoss_soco_baixo_0.png
18;121;88;67;109;86;112;35;19;/image/bigboss/bigBoss_soco_baixo_1png.png
