#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;127;8;66;191;0;0;0;0;/image/tche/tche_anda_0.png
1;125;11;63;186;0;0;0;0;/image/tche/tche_anda_1.png
2;125;13;69;191;0;0;0;0;/image/tche/tche_anda_2.png
3;130;6;63;192;0;0;0;0;/image/tche/tche_anda_3.png
4;114;5;65;193;0;0;0;0;/image/tche/tche_parado_0.png
5;106;11;74;189;0;0;0;0;/image/tche/tche_parado_1.png
6;109;12;71;187;0;0;0;0;/image/tche/tche_parado_2.png
7;115;1;78;199;0;0;0;0;/image/tche/tche_parado_3.png
8;128;33;55;162;0;0;0;0;/image/tche/tche_defesa_alta_0.png
9;129;30;49;166;0;0;0;0;/image/tche/tche_hit_0.png
10;126;26;50;166;0;0;0;0;/image/tche/tche_hit_1.png
11;130;28;46;165;0;0;0;0;/image/tche/tche_hit_2.png
12;125;5;74;193;0;0;0;0;/image/tche/tche_soco_alto_0.png
13;123;9;77;189;94;35;28;27;/image/tche/tche_soco_alto_1.png
14;110;12;94;187;44;23;82;30;/image/tche/tche_soco_alto_2.png
15;123;2;41;199;0;0;0;0;/image/tche/tche_chute_alto_0.png
16;117;24;55;171;67;88;49;52;/image/tche/tche_chute_alto_1.png
17;116;33;69;168;35;86;84;30;/image/tche/tche_chute_alto_2.png
18;145;26;62;168;0;0;0;0;/image/tche/tche_especial_0.png
19;153;16;52;179;138;69;24;29;/image/tche/tche_especial_1.png
20;152;29;52;167;115;60;40;30;/image/tche/tche_especial_2.png
21;152;18;57;176;106;54;52;22;/image/tche/tche_especial_3.png
22;102;52;103;148;0;0;0;0;/image/tche/tche_agachado_0.png
23;136;61;97;136;0;0;0;0;/image/tche/tche_agachado_1.png
24;104;78;80;118;0;0;0;0;/image/tche/tche_defesa_baixa_0.png
25;97;52;100;147;0;0;0;0;/image/tche/tche_soco_baixo_0.png
26;112;53;75;146;56;79;55;23;/image/tche/tche_soco_baixo_1.png
27;102;52;90;148;18;76;101;26;/image/tche/tche_soco_baixo_2.png
28;134;89;81;107;0;0;0;0;/image/tche/tche_chute_baixo_0.png
29;130;85;74;115;0;0;0;0;/image/tche/tche_chute_baixo_1.png
30;114;90;85;109;0;0;0;0;/image/tche/tche_chute_baixo_2.png
31;118;95;68;102;37;151;83;44;/image/tche/tche_chute_baixo_3.png
