#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;133;37;38;157;0;0;0;0;/image/bigboss/bigBoss_anda_alto_0.png
1;138;42;31;151;0;0;0;0;/image/bigboss/bigBoss_anda_alto_1.png
2;134;39;42;159;0;0;0;0;/image/bigboss/bigBoss_Parado_0.png
3;136;41;38;155;0;0;0;0;/image/bigboss/bigBoss_Parado_1.png
4;125;41;38;153;0;0;0;0;/image/bigboss/bigBoss_Parado_2.png
5;128;43;51;145;0;0;0;0;/image/bigboss/bigBoss_defesa_alto_0.png
6;133;40;39;156;0;0;0;0;/image/bigboss/bigBoss_hit.png
7;127;36;41;153;0;0;0;0;/image/bigboss/bigBoss_soco_alto_0.png
8;135;41;36;150;102;54;32;26;/image/bigboss/bigBoss_soco_alto_1.png
9;138;40;44;159;88;53;51;20;/image/bigboss/bigBoss_soco_alto_2.png
10;148;39;34;159;128;120;20;64;/image/bigboss/bigBoss_chute_alto_0.png
11;151;43;32;156;80;93;71;61;/image/bigboss/bigBoss_chute_alto_1.png
12;111;79;70;120;0;0;0;0;/image/bigboss/bigBoss_especial_0.png
13;122;61;62;138;98;68;23;64;/image/bigboss/bigBoss_especial_1.png
14;115;43;74;155;90;36;27;92;/image/bigboss/bigBoss_especial_2.png
15;124;21;61;175;97;1;26;192;/image/bigboss/bigBoss_especial_3.png
16;119;53;57;149;0;0;0;0;/image/bigboss/bigBoss_agachado_0.png
17;114;78;57;121;0;0;0;0;/image/bigboss/bigBoss_agachado_1.png
18;121;91;69;105;0;0;0;0;/image/bigboss/bigBoss_defesa_baixa_0.png
19;127;97;55;99;98;108;28;26;/image/bigboss/bigBoss_soco_baixo_0.png
20;129;91;62;105;88;106;39;22;/image/bigboss/bigBoss_soco_baixo_1.png
21;125;95;53;106;60;147;65;53;/image/bigboss/bigBoss_chute_baixo_0.png
