#id;bodyX1;bodyY1;bodyX2;bodyY2;atkX1;atkY1;atkX2;atkY2;imagePath
0;128;44;34;153;0;0;0;0;/image/mallock/mallock_andando_0.png
1;126;42;38;157;0;0;0;0;/image/mallock/mallock_andando_1.png
2;128;36;36;165;0;0;0;0;/image/mallock/mallock_andando_2.png
3;127;49;43;151;0;0;0;0;/image/mallock/mallock_parado_0.png
4;120;46;47;156;0;0;0;0;/image/mallock/mallock_parado_1.png
5;130;57;43;141;0;0;0;0;/image/mallock/mallock_parado_2.png
6;130;47;45;151;0;0;0;0;/image/mallock/mallock_parado_3.png
7;134;40;48;161;0;0;0;0;/image/mallock/mallock_defesa_alto_0.png
8;124;43;42;156;0;0;0;0;/image/mallock/mallock_hit_0.png
9;129;47;35;151;0;0;0;0;/image/mallock/mallock_hit_1.png
10;125;51;39;149;0;0;0;0;/image/mallock/mallock_hit_2.png
11;129;43;37;151;103;70;26;28;/image/mallock/mallock_soco_alto_0.png
12;127;38;39;160;91;66;32;27;/image/mallock/mallock_soco_alto_1.png
13;127;40;42;161;85;63;42;26;/image/mallock/mallock_soco_alto_2.png
14;132;42;48;158;80;58;50;25;/image/mallock/mallock_soco_alto_3.png
15;140;42;29;157;117;126;24;72;/image/mallock/mallock_chute_alto_0.png
16;137;36;42;166;97;105;41;67;/image/mallock/mallock_chute_alto_1.png
17;133;44;44;158;64;98;68;44;/image/mallock/mallock_chute_alto_2.png
18;131;34;62;168;41;88;91;33;/image/mallock/mallock_chute_alto_3.png
19;123;43;50;158;0;0;0;0;/image/mallock/mallock_special_0.png
20;119;41;49;157;0;0;0;0;/image/mallock/mallock_special_1.png
21;122;43;60;158;90;76;32;21;/image/mallock/mallock_special_2.png
22;122;37;60;165;83;61;41;35;/image/mallock/mallock_special_3.png
23;121;86;55;115;0;0;0;0;/image/mallock/mallock_agachado_0.png
24;111;104;65;102;0;0;0;0;/image/mallock/mallock_defesa_baixo_0.png
25;117;90;63;110;0;0;0;0;/image/mallock/mallock_soco_baixo_0.png
26;123;93;52;104;87;119;36;23;/image/mallock/mallock_soco_baixo_1.png
27;124;85;54;119;78;117;51;24;/image/mallock/mallock_soco_baixo_2.png
28;122;93;55;111;73;119;47;17;/image/mallock/mallock_soco_baixo_3.png
29;122;93;50;110;0;0;0;0;/image/mallock/mallock_chute_baixo_0.png
30;141;94;40;110;96;150;43;53;/image/mallock/mallock_chute_baixo_1.png
31;128;96;40;106;56;149;81;47;/image/mallock/mallock_chute_baixo_2.png
32;134;86;47;112;62;156;72;44;/image/mallock/mallock_chute_baixo_3.png
